student_id,gender,age,parental_education,family_income,internet_access,study_environment,study_hours_per_day,attendance_rate,sleep_hours,social_media_hours,assignment_completion_rate,participation_score,online_courses_completed,tutoring,math_score,reading_score,writing_score,science_score,final_exam_score,previous_gpa,pass_fail,grade_category
S01255,Male,15,High School,Low,Yes,Moderate,2.0,84.5,6.08,3.2,79.8,92.1,3,Yes,38.4,45.1,40.2,36.4,37.0,1.71,Fail,F
S01256,Female,15,PhD,Low,Yes,Noisy,2.67,96.0,8.53,2.1,79.6,68.2,2,No,34.4,55.2,30.9,40.5,41.6,1.6,Fail,F
S01257,Female,18,High School,Medium,Yes,Noisy,3.15,96.6,7.17,1.1,73.0,76.6,4,No,40.9,45.8,25.2,35.2,37.5,1.71,Fail,F
S01258,Male,15,High School,Low,Yes,Noisy,2.26,77.4,5.68,0.8,87.1,68.6,1,No,31.2,53.1,45.2,40.4,41.0,1.38,Fail,F
S01259,Female,17,Master,Medium,Yes,Moderate,2.74,100.0,7.88,0.6,96.4,70.4,1,No,56.0,46.2,65.5,29.2,51.8,2.06,Pass,D
S01260,Male,16,High School,High,Yes,Moderate,4.66,79.6,8.32,4.0,65.4,49.7,0,Yes,67.8,57.5,76.5,58.5,62.7,2.7,Pass,D
S01261,Male,16,High School,Low,Yes,Moderate,0.9,95.0,6.6,3.7,69.1,62.3,2,No,31.5,30.4,38.4,27.5,33.2,1.27,Fail,F
S01262,Male,16,High School,Medium,Yes,Noisy,3.22,94.6,6.55,3.3,90.0,59.1,2,No,54.5,53.2,50.4,38.1,46.9,2.21,Fail,F
S01263,Male,15,Bachelor,High,Yes,Quiet,2.06,85.7,7.2,0.8,58.2,50.4,1,No,34.9,11.1,32.8,25.5,25.0,1.01,Fail,F
S01264,Male,16,Bachelor,High,Yes,Quiet,4.6,85.7,5.19,2.1,72.0,71.2,4,No,51.6,63.4,64.7,43.8,53.2,2.33,Pass,D
S01265,Female,18,Bachelor,Medium,Yes,Quiet,2.78,88.2,7.71,3.0,100.0,91.0,3,Yes,45.7,40.9,40.5,51.8,44.5,1.69,Fail,F
S01266,Male,18,Master,Medium,No,Moderate,1.74,86.2,8.69,4.4,82.8,56.6,6,Yes,45.9,40.3,37.2,47.6,43.6,1.86,Fail,F
S01267,Male,18,Bachelor,Low,Yes,Quiet,2.74,81.1,6.35,3.0,75.7,95.1,2,Yes,43.5,37.8,46.7,41.1,42.4,1.27,Fail,F
S01268,Female,15,High School,Medium,Yes,Moderate,3.42,80.2,8.84,2.7,54.1,67.9,1,Yes,38.7,58.1,36.3,57.1,47.6,1.6,Fail,F
S01269,Male,16,Master,High,Yes,Quiet,6.33,81.2,7.99,1.1,43.9,63.2,1,No,88.6,81.4,89.4,78.5,84.6,3.2,Pass,B
S01270,Female,15,High School,Medium,Yes,Quiet,0.5,97.2,6.92,3.9,95.9,66.0,2,No,52.9,50.6,55.7,41.7,49.7,2.19,Fail,F
S01271,Female,16,High School,Medium,Yes,Quiet,1.56,69.1,7.63,2.1,62.5,100.0,0,No,49.6,39.3,51.4,28.9,46.7,1.62,Fail,F
S01272,Female,17,High School,Low,Yes,Moderate,4.57,80.0,8.6,0.4,80.7,75.6,4,No,48.8,55.7,42.4,52.6,47.9,1.8,Fail,F
S01273,Male,17,Bachelor,Medium,Yes,Quiet,1.19,81.7,7.14,1.2,99.1,75.6,4,No,40.2,44.1,37.3,45.4,40.3,1.8,Fail,F
S01274,Male,15,High School,Medium,Yes,Quiet,3.01,82.7,7.39,3.5,72.5,79.2,2,Yes,41.9,51.4,49.7,43.3,44.6,1.88,Fail,F
S01275,Male,18,High School,Medium,Yes,Noisy,2.42,88.0,6.46,3.6,73.1,50.2,4,No,53.4,48.7,51.1,40.4,46.2,2.05,Fail,F
S01276,Female,15,High School,Low,No,Noisy,2.23,71.5,6.88,0.0,90.4,86.5,3,No,54.4,45.9,52.3,44.9,47.7,1.85,Fail,F
S01277,Male,18,High School,Medium,Yes,Noisy,2.79,95.3,7.7,2.4,100.0,57.6,4,No,23.6,29.3,18.4,31.7,25.2,0.6,Fail,F
S01278,Male,16,Bachelor,Medium,Yes,Moderate,2.6,93.9,6.82,0.6,92.7,55.7,3,No,44.8,54.4,47.6,43.3,50.0,2.41,Pass,F
S01279,Male,18,Master,Low,Yes,Noisy,4.27,91.7,6.5,3.1,100.0,63.0,0,No,76.5,54.3,72.1,59.3,68.6,2.68,Pass,C
S01280,Female,18,Master,Low,No,Moderate,4.59,82.9,8.15,3.4,45.4,66.4,1,Yes,82.6,80.2,72.7,75.6,76.2,3.01,Pass,C
S01281,Female,16,High School,Low,Yes,Noisy,3.51,77.6,7.48,0.9,86.3,70.0,1,No,61.7,43.8,60.3,63.5,58.7,2.36,Pass,D
S01282,Male,17,High School,Medium,Yes,Quiet,2.72,81.7,6.52,2.5,99.3,65.4,4,Yes,41.3,59.6,54.2,60.2,55.3,2.27,Pass,D
S01283,Male,16,PhD,Medium,Yes,Quiet,3.31,85.6,8.75,3.8,86.8,61.7,2,No,44.7,57.5,35.1,31.6,44.5,1.42,Fail,F
S01284,Male,15,High School,High,Yes,Quiet,3.97,91.7,9.11,4.0,77.8,60.2,4,Yes,47.3,51.3,49.4,57.1,48.8,2.01,Fail,F
S01285,Male,15,Master,Low,Yes,Noisy,4.2,84.2,8.01,1.2,61.6,70.5,1,Yes,71.4,73.2,70.6,71.0,73.5,2.93,Pass,C
S01286,Female,15,High School,High,Yes,Moderate,3.44,88.6,5.81,4.1,69.0,43.5,0,No,29.8,33.8,46.3,26.3,33.2,1.59,Fail,F
S01287,Female,15,Master,Medium,Yes,Moderate,4.83,80.7,7.41,2.9,100.0,70.4,2,No,51.3,43.1,49.0,49.6,51.0,1.99,Pass,D
S01288,Female,15,High School,Medium,Yes,Moderate,2.26,87.9,7.59,1.8,79.5,89.1,4,No,75.8,62.8,70.0,64.3,67.8,2.52,Pass,C
S01289,Female,17,Bachelor,Low,Yes,Noisy,4.37,82.5,5.42,2.4,70.5,74.6,0,No,67.8,69.3,67.4,83.8,73.4,2.64,Pass,C
S01290,Male,17,Bachelor,Low,Yes,Noisy,3.85,87.7,8.19,3.7,56.7,81.1,1,Yes,56.0,63.5,58.9,49.1,56.4,1.84,Pass,D
S01291,Male,18,Bachelor,High,Yes,Moderate,2.27,67.3,7.21,3.7,87.0,90.7,5,No,48.9,34.1,47.6,45.5,42.0,1.33,Fail,F
S01292,Male,15,High School,Medium,Yes,Moderate,3.28,89.9,8.12,3.9,67.9,79.4,3,Yes,64.8,63.9,45.3,72.3,60.7,2.27,Pass,D
S01293,Female,16,Bachelor,Medium,No,Quiet,3.36,90.4,6.69,1.5,79.5,61.3,0,No,37.3,36.8,40.3,30.5,36.7,1.29,Fail,F
S01294,Male,15,Bachelor,Low,Yes,Moderate,2.83,90.3,7.48,2.8,100.0,62.5,2,Yes,41.3,46.1,52.3,42.7,44.7,1.85,Fail,F
S01295,Female,17,High School,High,Yes,Noisy,2.82,75.1,7.53,2.1,92.0,71.7,1,No,31.7,26.5,45.2,37.7,35.0,1.25,Fail,F
S01296,Female,15,High School,Low,Yes,Moderate,1.17,77.9,7.19,2.8,99.6,51.5,1,Yes,34.0,46.8,48.4,44.6,42.9,1.98,Fail,F
S01297,Male,17,Bachelor,Medium,Yes,Moderate,2.17,76.3,7.49,1.7,82.2,100.0,2,No,37.5,35.0,42.8,52.9,42.2,1.65,Fail,F
S01298,Male,18,High School,Medium,Yes,Quiet,2.71,88.3,6.86,4.9,90.7,70.1,4,No,24.0,28.2,37.4,25.9,29.6,0.76,Fail,F
S01299,Male,18,Bachelor,Medium,Yes,Quiet,2.31,91.6,5.82,2.5,99.9,92.5,0,No,53.6,61.6,48.8,52.2,55.4,2.2,Pass,D
S01300,Female,18,High School,Medium,Yes,Quiet,1.97,78.0,4.96,2.3,67.6,67.5,1,No,38.7,37.1,9.4,40.7,32.0,1.12,Fail,F
S01301,Male,17,Bachelor,Medium,Yes,Moderate,4.27,98.2,6.38,3.2,79.4,71.1,3,No,49.7,64.5,55.6,54.9,57.2,2.31,Pass,D
S01302,Female,15,High School,High,Yes,Moderate,2.88,98.0,7.79,4.2,69.7,69.3,1,Yes,49.4,26.8,36.8,43.4,35.9,1.52,Fail,F
S01303,Male,15,Bachelor,High,Yes,Noisy,5.6,86.4,5.96,2.6,70.9,89.1,2,Yes,75.9,68.5,66.7,64.1,66.0,2.37,Pass,C
S01304,Female,16,High School,Medium,Yes,Moderate,3.27,88.7,8.06,2.0,77.8,100.0,0,Yes,48.7,46.9,58.9,54.4,47.0,1.85,Fail,F
S01305,Female,17,High School,Low,Yes,Quiet,4.25,68.2,8.39,3.8,65.7,48.1,4,No,50.5,50.2,42.3,47.4,48.7,1.79,Fail,F
S01306,Male,16,High School,Medium,Yes,Quiet,2.75,79.7,7.47,5.1,74.4,66.3,2,No,36.6,43.6,42.6,45.6,40.6,1.85,Fail,F
S01307,Female,18,PhD,Low,Yes,Noisy,2.21,72.5,6.83,4.6,90.3,76.4,0,No,42.6,33.0,25.3,30.2,31.4,1.76,Fail,F
S01308,Female,15,High School,Low,Yes,Moderate,3.32,75.9,8.02,1.0,78.6,43.8,1,Yes,24.5,44.9,42.0,28.6,35.9,1.25,Fail,F
S01309,Male,17,Bachelor,High,Yes,Moderate,4.55,90.1,8.16,3.7,68.4,60.6,1,Yes,64.4,74.8,58.8,55.2,64.2,2.54,Pass,D
S01310,Female,16,High School,High,Yes,Moderate,2.89,92.6,6.77,2.4,91.8,76.4,2,No,82.8,67.9,68.7,56.3,71.9,2.97,Pass,C
S01311,Male,16,High School,Medium,Yes,Quiet,3.54,93.0,7.08,4.4,66.3,62.6,2,No,67.3,57.7,71.0,63.5,66.4,2.96,Pass,C
S01312,Female,16,Bachelor,High,No,Quiet,3.31,87.4,6.19,5.3,63.4,70.4,2,Yes,43.1,49.5,50.4,43.9,45.7,1.59,Fail,F
S01313,Male,15,Bachelor,High,Yes,Quiet,2.88,90.2,7.29,0.0,98.0,77.5,3,Yes,64.4,64.2,78.7,55.6,66.0,2.78,Pass,C
S01314,Male,15,PhD,Medium,Yes,Quiet,2.94,69.1,4.93,2.5,92.7,62.2,2,No,39.3,37.3,24.4,28.5,32.8,1.89,Fail,F
S01315,Female,15,Master,Medium,No,Moderate,1.8,72.1,6.71,1.8,74.9,55.6,3,No,26.3,31.6,28.6,33.0,29.3,1.48,Fail,F
S01316,Female,17,Master,Medium,Yes,Moderate,2.99,82.9,6.15,1.4,100.0,55.2,1,No,47.3,33.8,43.6,33.7,37.1,0.98,Fail,F
S01317,Female,15,Bachelor,Low,Yes,Noisy,3.78,91.0,6.91,1.1,71.5,36.4,0,No,53.0,67.0,59.5,58.2,61.9,2.7,Pass,D
S01318,Female,17,Bachelor,Low,Yes,Noisy,3.35,80.5,6.2,1.8,90.2,78.1,3,Yes,57.8,59.0,40.2,55.8,53.8,2.17,Pass,D
S01319,Female,16,High School,Medium,Yes,Moderate,3.22,71.4,5.09,2.1,56.3,67.6,1,Yes,42.1,39.1,31.7,45.3,40.7,1.74,Fail,F
S01320,Male,16,Master,Medium,Yes,Moderate,3.87,78.1,6.35,2.0,64.8,88.2,2,No,39.9,60.8,56.2,51.5,54.3,2.14,Pass,D
S01321,Female,18,Bachelor,Low,Yes,Moderate,3.23,75.7,6.52,0.0,95.4,79.7,2,No,40.1,47.8,54.7,43.2,46.0,1.8,Fail,F
S01322,Male,15,Bachelor,Medium,Yes,Quiet,3.02,67.8,8.07,2.7,100.0,71.2,0,No,29.6,43.0,33.1,39.3,33.2,1.78,Fail,F
S01323,Male,16,High School,Medium,Yes,Noisy,3.88,100.0,6.36,4.1,77.7,75.4,2,No,43.1,39.7,36.8,33.1,37.0,1.68,Fail,F
S01324,Female,15,High School,High,Yes,Moderate,3.16,97.3,6.15,1.7,100.0,44.0,1,No,49.5,69.4,44.7,51.1,52.6,2.25,Pass,D
S01325,Male,17,Master,Medium,Yes,Noisy,2.72,65.2,5.81,0.0,99.6,75.4,1,No,41.4,55.2,41.0,37.9,45.5,1.32,Fail,F
S01326,Male,16,High School,Medium,Yes,Noisy,3.56,65.8,8.14,2.6,69.6,66.9,2,Yes,57.1,51.1,46.4,71.4,58.6,2.45,Pass,D
S01327,Male,15,Bachelor,High,Yes,Moderate,2.96,76.9,6.78,4.1,74.3,59.2,1,No,34.9,42.8,40.5,45.3,40.7,1.32,Fail,F
S01328,Male,16,High School,High,Yes,Quiet,2.66,70.1,7.27,2.7,59.2,63.6,0,Yes,35.6,45.2,39.9,38.4,43.5,1.77,Fail,F
S01329,Female,16,Master,Medium,Yes,Moderate,3.19,100.0,5.46,1.4,73.4,80.0,2,No,46.4,55.1,49.7,43.5,48.9,1.94,Fail,F
S01330,Male,15,High School,High,Yes,Moderate,3.2,77.0,5.25,0.9,83.6,61.5,1,No,46.9,50.2,50.4,37.1,43.9,1.86,Fail,F
S01331,Female,16,Master,Medium,Yes,Moderate,1.68,88.6,6.1,3.6,80.6,66.4,2,No,34.9,61.5,47.7,44.7,44.1,1.24,Fail,F
S01332,Female,16,High School,Low,Yes,Quiet,3.4,79.9,8.62,2.2,80.5,78.6,0,Yes,39.7,39.9,36.8,39.7,38.4,1.55,Fail,F
S01333,Male,16,Master,Low,Yes,Moderate,5.22,73.3,5.91,1.7,95.0,66.2,0,No,87.1,82.0,81.3,87.4,85.0,3.05,Pass,B
S01334,Female,16,Bachelor,Medium,Yes,Noisy,1.82,95.5,6.37,1.6,82.5,72.7,2,No,47.2,53.6,53.4,37.9,47.5,1.78,Fail,F
S01335,Female,17,High School,Medium,Yes,Noisy,2.4,91.5,7.01,2.8,90.3,68.4,0,Yes,69.0,51.9,56.6,67.3,61.1,2.4,Pass,D
S01336,Female,16,Bachelor,Medium,Yes,Quiet,6.34,84.4,6.37,2.7,86.7,86.6,4,Yes,69.5,79.0,87.7,72.0,72.5,2.89,Pass,C
S01337,Male,18,High School,Medium,Yes,Noisy,2.01,100.0,7.48,2.6,84.3,72.6,0,Yes,40.1,42.8,45.1,35.5,41.1,1.46,Fail,F
S01338,Female,16,High School,Low,Yes,Quiet,4.54,87.4,6.17,1.1,93.8,45.4,3,No,57.6,59.9,69.1,64.4,64.5,2.34,Pass,D
S01339,Female,15,Master,Low,No,Noisy,2.73,80.4,5.9,1.0,92.0,81.9,1,No,61.2,64.8,51.7,61.6,58.6,2.27,Pass,D
S01340,Female,18,Bachelor,Medium,Yes,Quiet,3.07,100.0,9.72,1.5,63.1,60.3,2,No,60.1,54.7,56.5,56.4,56.1,2.07,Pass,D
S01341,Male,17,High School,Low,No,Noisy,2.84,89.0,6.06,2.9,100.0,62.3,2,No,62.6,52.6,44.2,50.6,51.9,1.85,Pass,D
S01342,Female,18,High School,Medium,Yes,Moderate,3.51,100.0,7.8,3.3,81.8,66.8,2,No,47.1,49.5,35.7,60.8,48.6,2.19,Fail,F
S01343,Male,18,High School,Medium,Yes,Quiet,1.1,84.6,6.06,4.7,65.7,100.0,3,No,31.5,47.5,46.2,36.6,40.9,1.9,Fail,F
S01344,Male,18,Master,Medium,Yes,Quiet,3.22,54.9,5.46,1.2,79.0,77.9,5,No,44.1,32.6,32.3,50.8,38.2,2.0,Fail,F
S01345,Male,15,High School,Medium,Yes,Quiet,2.52,69.4,6.91,3.6,83.9,98.8,5,No,60.4,76.4,68.6,65.6,63.0,2.52,Pass,D
S01346,Male,15,PhD,Medium,Yes,Moderate,0.76,95.8,5.66,0.0,88.8,70.9,2,No,32.8,54.5,46.2,44.6,48.3,1.86,Fail,F
S01347,Male,15,Master,High,Yes,Noisy,4.35,79.1,6.61,3.0,94.4,81.0,3,No,44.7,30.8,41.0,31.3,39.4,1.02,Fail,F
S01348,Male,17,High School,High,Yes,Moderate,0.5,87.5,6.2,0.2,91.5,96.9,2,No,53.5,48.7,49.7,61.6,52.0,2.37,Pass,D
S01349,Female,15,High School,High,Yes,Noisy,5.58,96.3,8.25,0.7,100.0,82.3,2,No,73.0,84.5,82.6,78.9,80.2,3.12,Pass,B
S01350,Male,15,Master,Medium,Yes,Moderate,3.74,86.8,5.46,3.6,81.6,76.2,2,No,48.3,56.5,49.2,56.3,52.8,1.83,Pass,D
S01351,Female,18,High School,Low,Yes,Noisy,1.37,76.4,7.68,2.7,77.6,49.5,5,Yes,32.9,38.7,39.8,40.3,37.5,1.77,Fail,F
S01352,Female,15,High School,Medium,No,Moderate,4.61,84.9,7.29,2.0,58.0,54.8,1,No,41.6,42.7,45.4,43.2,46.7,1.94,Fail,F
S01353,Male,16,High School,High,Yes,Quiet,2.1,86.1,6.77,0.4,94.5,74.5,4,Yes,57.6,45.3,44.8,46.7,51.2,2.02,Pass,D
S01354,Female,15,Bachelor,Low,Yes,Moderate,2.15,80.9,6.24,3.1,89.1,85.2,2,Yes,42.5,40.7,46.9,52.1,45.3,1.69,Fail,F
S01355,Female,17,Master,Low,Yes,Quiet,0.84,71.2,7.17,2.6,71.5,68.0,2,Yes,28.7,26.0,37.0,51.2,35.3,1.07,Fail,F
S01356,Female,17,High School,Low,Yes,Noisy,1.96,81.4,7.23,3.6,83.6,80.1,0,Yes,52.6,47.6,58.4,59.0,49.9,1.75,Fail,F
S01357,Female,16,High School,Medium,Yes,Quiet,2.1,84.1,7.39,0.0,79.8,57.3,2,No,37.2,48.6,21.4,36.6,38.0,1.59,Fail,F
S01358,Male,17,Master,Medium,Yes,Quiet,3.98,70.6,6.73,3.4,82.6,60.5,0,No,36.6,42.1,55.5,61.7,52.6,2.49,Pass,D
S01359,Female,17,Master,Low,Yes,Quiet,4.4,75.8,5.85,1.7,75.9,77.2,1,Yes,83.2,87.7,67.2,71.7,77.5,3.51,Pass,C
S01360,Male,18,Bachelor,High,Yes,Moderate,1.51,77.8,7.88,2.9,81.7,70.9,3,Yes,44.0,43.2,43.5,29.8,40.5,1.73,Fail,F
S01361,Female,16,Master,Medium,No,Quiet,3.32,66.4,7.0,2.4,57.2,64.3,1,Yes,58.6,45.5,56.6,32.9,47.0,1.36,Fail,F
S01362,Female,18,Bachelor,Medium,Yes,Noisy,0.79,86.3,6.39,1.2,73.9,62.0,0,Yes,30.4,46.1,48.2,51.8,39.2,1.93,Fail,F
S01363,Male,18,Master,Medium,Yes,Quiet,3.33,87.4,6.0,1.9,84.6,47.5,3,No,64.4,59.1,58.2,37.0,55.1,2.11,Pass,D
S01364,Female,15,High School,Low,Yes,Quiet,5.59,79.6,7.92,1.2,69.4,69.6,0,No,68.5,65.0,63.4,61.0,61.7,2.62,Pass,D
S01365,Female,16,High School,Medium,Yes,Quiet,0.86,71.3,8.38,1.7,85.8,48.1,2,Yes,49.4,26.1,40.9,31.3,35.2,1.13,Fail,F
S01366,Female,15,Bachelor,Medium,No,Quiet,1.78,89.1,7.58,1.1,100.0,65.4,0,Yes,71.5,40.9,41.4,53.3,51.5,2.5,Pass,D
S01367,Male,15,Bachelor,Medium,No,Moderate,3.87,90.5,7.64,3.1,62.7,67.5,4,No,46.3,31.9,46.3,48.8,47.1,1.7,Fail,F
S01368,Female,18,PhD,Medium,Yes,Quiet,4.01,86.0,8.17,1.2,52.5,91.4,4,Yes,61.0,63.2,48.1,60.4,57.0,2.19,Pass,D
S01369,Male,17,High School,Medium,Yes,Quiet,1.87,85.4,6.64,3.3,98.1,54.2,2,No,53.5,46.6,53.5,31.2,48.5,2.01,Fail,F
S01370,Female,16,Master,Low,Yes,Quiet,4.77,90.9,9.13,7.4,100.0,77.2,0,No,48.6,58.0,65.2,54.3,57.1,1.83,Pass,D
S01371,Male,17,Master,Medium,Yes,Quiet,2.02,84.0,5.94,2.1,85.6,72.6,2,No,46.4,28.8,43.3,44.7,38.7,1.64,Fail,F
S01372,Male,18,High School,High,Yes,Moderate,5.01,75.8,6.76,0.1,80.1,54.2,0,Yes,54.0,60.8,50.1,50.9,51.7,2.07,Pass,D
S01373,Female,18,Master,Low,Yes,Moderate,3.56,84.3,6.23,5.7,70.3,70.9,0,No,45.5,42.3,49.4,47.3,46.0,1.95,Fail,F
S01374,Female,18,Bachelor,Low,Yes,Quiet,4.53,81.1,7.06,3.0,88.1,50.1,1,No,41.0,41.8,48.6,35.5,42.5,1.9,Fail,F
S01375,Male,18,Master,Medium,Yes,Quiet,3.44,84.3,8.73,2.3,79.8,70.9,2,No,42.6,46.3,67.8,44.4,53.8,2.61,Pass,D
S01376,Male,18,Bachelor,Medium,Yes,Moderate,3.79,93.8,6.76,1.9,92.7,66.7,2,No,38.7,51.3,49.6,48.6,45.4,1.36,Fail,F
S01377,Female,18,Bachelor,Low,Yes,Quiet,3.85,73.0,7.42,0.9,54.3,83.3,4,No,45.5,45.9,45.7,41.9,48.5,1.98,Fail,F
S01378,Male,17,Bachelor,Medium,Yes,Moderate,4.37,86.8,4.09,2.0,84.9,59.3,3,No,54.2,62.3,63.4,72.6,63.4,2.29,Pass,D
S01379,Female,15,High School,Medium,Yes,Noisy,2.96,72.5,7.43,1.3,67.5,36.7,1,No,44.9,55.3,51.9,36.5,49.4,2.05,Fail,F
S01380,Female,17,High School,High,Yes,Quiet,1.92,75.8,8.0,1.3,94.2,61.3,3,No,52.8,52.4,62.2,67.2,59.0,2.91,Pass,D
S01381,Female,16,Bachelor,Low,Yes,Quiet,2.91,100.0,7.12,3.4,62.8,79.3,0,No,53.7,55.7,59.1,47.7,54.5,2.2,Pass,D
S01382,Female,17,Master,Medium,Yes,Quiet,2.2,89.6,5.93,4.0,89.4,72.2,3,Yes,52.3,46.8,43.4,38.3,41.5,1.67,Fail,F
S01383,Male,18,Bachelor,Low,Yes,Moderate,2.28,86.6,5.8,2.2,71.3,61.4,2,No,40.1,41.9,36.0,26.9,38.0,2.0,Fail,F
S01384,Female,17,Bachelor,Medium,Yes,Quiet,4.99,68.4,6.45,3.3,73.5,88.2,2,Yes,45.2,31.5,44.0,50.3,38.6,1.82,Fail,F
S01385,Male,15,High School,Medium,Yes,Moderate,3.75,82.6,5.79,5.6,92.7,65.8,1,No,47.7,45.3,30.6,52.8,48.6,1.94,Fail,F
S01386,Female,16,Bachelor,Medium,No,Noisy,3.69,64.3,8.58,1.2,68.1,81.8,2,No,63.5,54.4,59.2,61.2,59.5,2.23,Pass,D
S01387,Male,17,High School,High,No,Quiet,4.29,85.4,7.47,0.0,57.5,70.4,3,No,63.9,50.3,57.4,49.2,54.9,2.19,Pass,D
S01388,Female,15,Master,Low,Yes,Quiet,3.74,72.5,8.44,3.7,81.1,80.1,1,No,48.7,52.7,47.3,59.7,51.8,1.89,Pass,D
S01389,Male,17,PhD,Medium,Yes,Moderate,5.24,90.6,6.71,1.4,70.1,81.5,1,No,46.9,61.7,60.6,64.4,59.6,2.66,Pass,D
S01390,Male,16,Bachelor,Low,No,Quiet,0.5,86.6,6.24,1.7,59.4,90.1,1,No,18.6,16.1,20.3,21.3,15.3,0.73,Fail,F
S01391,Female,17,High School,Medium,Yes,Quiet,1.8,72.8,6.3,2.7,85.3,58.3,2,No,48.6,31.3,35.5,32.2,35.0,1.38,Fail,F
S01392,Female,18,High School,Low,Yes,Moderate,2.16,88.8,6.54,4.4,84.3,78.6,2,Yes,48.7,40.5,39.9,43.8,42.8,1.94,Fail,F
S01393,Female,17,Bachelor,High,Yes,Quiet,1.35,100.0,6.51,2.7,81.8,51.5,0,Yes,35.6,53.1,37.1,44.0,41.5,2.12,Fail,F
S01394,Female,15,Bachelor,High,No,Noisy,3.14,83.0,8.22,0.0,87.6,78.4,4,No,71.4,50.8,60.5,59.3,59.6,2.66,Pass,D
S01395,Male,17,Master,High,Yes,Quiet,3.19,93.8,7.91,3.0,50.1,44.7,2,No,45.5,56.7,42.6,46.4,44.8,1.82,Fail,F
S01396,Female,15,High School,Low,Yes,Moderate,5.37,64.0,7.27,2.8,68.6,98.9,4,No,52.2,52.0,52.6,56.1,53.5,2.32,Pass,D
S01397,Male,16,Master,Medium,Yes,Moderate,4.08,89.7,5.34,1.2,84.2,75.0,2,No,72.1,51.5,57.4,70.2,64.5,2.75,Pass,D
S01398,Male,17,Bachelor,Low,Yes,Quiet,2.39,79.3,7.3,0.0,95.5,73.4,2,No,54.2,50.8,52.9,63.3,57.2,2.69,Pass,D
S01399,Female,16,High School,High,Yes,Quiet,3.59,82.3,6.69,1.9,83.6,45.3,1,No,44.4,49.4,45.9,38.4,46.9,1.61,Fail,F
S01400,Male,16,Bachelor,Medium,No,Quiet,0.81,91.0,8.41,0.0,97.5,85.2,4,Yes,47.0,57.0,54.0,55.5,51.9,2.09,Pass,D
S01401,Male,17,High School,Medium,Yes,Noisy,3.17,82.6,7.9,0.0,69.8,88.7,1,Yes,38.8,53.3,48.4,38.2,48.0,1.85,Fail,F
S01402,Male,15,Bachelor,Medium,Yes,Moderate,3.11,68.8,7.14,0.5,70.8,66.6,2,No,68.8,73.5,57.0,64.2,63.9,2.59,Pass,D
S01403,Male,16,Master,Low,No,Quiet,1.92,100.0,4.9,0.6,74.4,63.5,2,Yes,46.7,25.2,44.8,27.5,35.3,1.39,Fail,F
S01404,Female,16,Bachelor,Medium,Yes,Moderate,2.76,70.5,6.86,3.8,78.8,64.4,1,No,35.6,37.3,39.0,52.5,36.8,1.5,Fail,F
S01405,Female,17,Master,Low,Yes,Moderate,2.17,76.6,6.35,2.3,53.4,95.9,4,No,60.2,47.2,49.7,52.4,52.3,2.16,Pass,D
S01406,Female,17,Bachelor,High,Yes,Noisy,1.88,86.3,7.41,3.0,79.7,68.5,0,No,47.4,33.2,44.6,44.9,44.0,0.99,Fail,F
S01407,Female,17,High School,High,Yes,Quiet,3.81,86.4,5.86,2.8,79.5,72.5,2,No,41.2,48.9,50.0,40.1,44.0,1.39,Fail,F
S01408,Male,17,Bachelor,Medium,Yes,Noisy,4.24,89.3,7.26,0.2,70.8,84.3,1,No,51.3,62.6,81.4,62.8,64.5,3.22,Pass,D
S01409,Male,17,Bachelor,High,No,Moderate,3.61,86.3,4.78,1.7,68.5,33.4,0,No,40.6,47.3,49.1,43.8,46.7,1.83,Fail,F
S01410,Female,18,High School,Medium,Yes,Noisy,2.47,96.5,5.61,2.2,84.1,68.8,3,Yes,48.0,45.5,57.3,48.4,49.7,1.96,Fail,F
S01411,Female,17,High School,High,Yes,Quiet,2.2,89.9,6.12,2.3,88.8,65.8,2,No,45.5,48.8,48.3,47.8,48.1,1.84,Fail,F
S01412,Female,15,Bachelor,Medium,Yes,Quiet,2.51,73.1,6.45,3.2,82.2,72.3,0,Yes,47.0,54.8,65.7,66.0,61.4,2.39,Pass,D
S01413,Male,16,High School,Medium,Yes,Noisy,2.74,59.0,7.39,3.9,82.1,82.1,1,No,24.7,39.4,32.5,34.2,34.1,1.74,Fail,F
S01414,Female,15,High School,Medium,Yes,Noisy,1.95,86.5,5.34,3.1,79.5,84.6,4,No,43.2,38.5,44.3,65.7,47.3,1.85,Fail,F
S01415,Female,15,Bachelor,Low,Yes,Quiet,4.26,99.7,6.36,5.1,80.2,66.5,0,No,45.9,44.0,47.5,62.1,49.4,2.1,Fail,F
S01416,Female,18,High School,Medium,Yes,Moderate,2.76,72.5,6.38,3.2,90.2,67.8,2,No,66.4,58.0,59.4,60.7,62.5,2.29,Pass,D
S01417,Male,17,Master,Low,Yes,Quiet,3.92,74.5,7.69,1.7,100.0,70.4,0,No,60.4,62.3,66.6,54.6,59.4,2.89,Pass,D
S01418,Male,16,High School,High,Yes,Quiet,1.32,88.5,6.81,4.4,100.0,81.4,3,No,41.7,42.1,48.9,40.8,43.5,1.72,Fail,F
S01419,Male,15,Master,Low,Yes,Quiet,2.17,89.8,6.03,0.7,63.7,87.2,1,Yes,72.1,47.7,53.9,47.5,56.1,2.42,Pass,D
